timestamp,fila_tamanho,detectados_total,movidos_total,ignorados_total,detectados_por_intervalo,movidos_por_intervalo,ignorados_por_intervalo
2026-02-27T20:13:50.732883,0,0,0,0,0,0,0
2026-02-27T20:13:54.752682,0,0,0,0,0,0,0
2026-02-27T20:13:58.772454,0,0,0,0,0,0,0
2026-02-27T20:14:02.784472,0,0,0,0,0,0,0
2026-02-27T20:14:06.813320,0,0,0,0,0,0,0
2026-02-27T20:14:10.830133,0,0,0,0,0,0,0
2026-02-27T20:14:14.856938,0,0,0,0,0,0,0
2026-02-27T20:14:18.875560,0,0,0,0,0,0,0
2026-02-27T20:14:22.892116,0,0,0,0,0,0,0
2026-02-27T20:14:26.918689,0,0,0,0,0,0,0
2026-02-27T20:14:30.951040,0,0,0,0,0,0,0
2026-02-27T20:14:34.984007,0,0,0,0,0,0,0
2026-02-27T20:14:39.012913,0,0,0,0,0,0,0
2026-02-27T20:14:43.046432,0,0,0,0,0,0,0
2026-02-27T20:14:47.076899,0,0,0,0,0,0,0
2026-02-27T20:14:51.124708,0,1,0,1,1,0,1
2026-02-27T20:14:55.141582,0,1,0,1,0,0,0
2026-02-27T20:14:59.160065,0,4,0,4,3,0,3
2026-02-27T20:15:03.180612,0,4,0,4,0,0,0
2026-02-27T20:15:07.203593,0,4,0,4,0,0,0
2026-02-27T20:15:11.219978,0,4,0,4,0,0,0
2026-02-27T20:15:19.338730,0,4,0,4,0,0,0
2026-03-01T15:20:22.499466,0,0,0,0,0,0,0
2026-03-01T15:20:26.547279,0,0,0,0,0,0,0
2026-03-01T15:20:30.578375,0,0,0,0,0,0,0
2026-03-01T15:22:29.796926,0,0,0,0,0,0,0
2026-03-01T15:22:33.828202,0,0,0,0,0,0,0
2026-03-01T15:22:37.843637,0,0,0,0,0,0,0
2026-03-01T15:22:41.860983,0,0,0,0,0,0,0
2026-03-01T15:23:17.671759,0,0,0,0,0,0,0
2026-03-01T15:23:21.688151,0,0,0,0,0,0,0
2026-03-01T15:23:25.713017,0,0,0,0,0,0,0
2026-03-01T15:23:29.734994,0,0,0,0,0,0,0
2026-03-01T15:23:33.765350,0,0,0,0,0,0,0
2026-03-01T15:23:37.830614,0,1,0,1,1,0,1
2026-03-01T15:23:41.874737,0,1,0,1,0,0,0
2026-03-01T15:23:45.889597,0,1,0,1,0,0,0
2026-03-01T15:23:49.905718,0,1,0,1,0,0,0
